Semantic Field,Structure,Database ID,Synset,Phrase 1,Phrase 2,Definiton,Jpn ID,Jpn Synset,Phrase 1,Phrase 2,Jpn Definition
Person,entity:physical entity:object:whole:living thing:organism:person:worker:volunteer,10778819,"volunteer,unpaid worker",,,a person who performs voluntary work,10759151-n,"有志者,ボランティア,有志,ボランテァ",,,ボランティア労働に従事する人
Tops,entity:physical entity:object:whole:living thing:organism:plant,00017402,"plant,flora,plant life",,,(botany) a living organism lacking the power of locomotion,00017222-n,"植物,草木",,,移動力のない、生命を持つ有機体
Plant,entity:physical entity:object:whole:living thing:organism:plant:houseplant,13103783,houseplant,,,any of a variety of plants grown indoors for decorative purposes,13083023-n,#N/A,,,装飾が目的の室内で育てられる植物の総称
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:bulbous plant:liliaceous plant:lily,12446753,lily,,,any liliaceous plant of the genus Lilium having showy pendulous flowers,12426248-n,"百合,ゆり,小百合,小ゆり,ユリ,さ百合",,,派手な垂れ下がる花を持つユリ属のユリ系の植物のどれか
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:herb:gramineous plant:grass,12122650,grass,,,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,12102133-n,イネ科の草,,,幅の小さい葉を持つ緑の草：芝生として育てられる
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:herb:gramineous plant:grass:cereal:wheat,12162602,wheat,,,annual or biennial grass having erect flower spikes and light brown grains,12142085-n,"小麦,麦,コムギ",,,直立する穂状花序と明るい褐色の穀粒を持つ、一年生または二年生の草
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:spermatophyte:angiosperm:flower,11690372,flower,,,a plant cultivated for its blooms or blossoms,11669921-n,観賞花,,,花を観賞するために栽培されている植物
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:vine:gourd:melon:watermelon,12184582,"watermelon,watermelon vine,Citrullus vulgaris",,,an African melon,12164065-n,スイカ,,,アフリカのメロン
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:vine:potato,12918253,"potato,white potato,white potato vine,Solanum tuberosum",,,annual native to South America having underground stolons bearing edible starchy tubers; widely cultivated as a garden vegetable; vines are poisonous,12897493-n,"ジャガタラいも,ジャガ芋,じゃが,ジャガイモ,ジャガタラ芋,馬鈴薯,じゃが芋,ポテト",,,でんぷん質の食用の塊茎をつける地下の匍匐茎をもつ南米の一年草
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:vine:squash:pumpkin,12178960,"pumpkin,pumpkin vine,autumn pumpkin,Cucurbita pepo",,,a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes,12158443-n,ペポカボチャ,,,大きいパルプの丸いオレンジの果物のために堅いオレンジの皮膚と頻繁な種子で広く栽培された粗いつる植物
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:vine:true pepper:pepper,13170289,"pepper,common pepper,black pepper,white pepper,Madagascar pepper,Piper nigrum",,,climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam,13149506-n,"黒コショウ,ホワイトペパー,胡椒,ブラックペッパー,ブラックペパー,ホワイトペッパー,ペッパー,黒胡椒,コショウ,ペパー",,,はん縁性植物、完熟すると濃赤色になる実（コショーの実）をつける
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:weed,13105873,weed,,,any plant that crowds out cultivated plants,13085113-n,雑草,,,栽培された植物を追い遣る植物
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:woody plant:shrub,13133423,"shrub,bush",,,a low woody perennial plant usually having several major stems,13112664-n,"低木,ブッシュ,かん木,灌木,潅木",,,いくつかの主要茎を持つ低い木本多年生植物
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:woody plant:shrub:rose,12640957,"rose,rosebush",red flower,,any of many shrubs of the genus Rosa that bear roses,12620196-n,"バラ,薔薇,ローズ",,,バラの花をつけるバラ属の多くの低木
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:woody plant:tree,13124818,tree,,,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,13104059-n,"成木,ツリー,天然木,高木,樹,樹木,木",,,中心的な幹と枝が明確な持ち上がった樹冠を形成する背が高い多年生の木本
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:woody plant:tree:angiospermous tree:fruit tree:apple tree:apple,12654755,"apple,orchard apple tree,Malus pumila",7755101,,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,12633994-n,"リンゴ,りんごの木",,,ユーラシア原産の高木で、堅くて丸い食用果実のために多くの変種が広く栽培されている
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:woody plant:tree:oak,12288763,"oak,oak tree",,,"a deciduous tree of the genus Quercus; has acorns and lobed leaves; ""great oaks grow from little acorns""",12268246-n,"樫,クヌギ,橿,楢,橡,オーク",,,カシ属の落葉樹
Plant,entity:physical entity:object:whole:living thing:organism:plant:vascular plant:woody plant:tree:palm,12602979,"palm,palm tree",tropical tree,,any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves,12582231-n,"椰子,ヤシ科,ヤシ,椰子科",,,大きな羽状または掌状の葉の茂る枝のない幹を持つヤシ科の植物のどれか
Body,entity:physical entity:object:whole:natural object:body,05223633,"body,organic structure",,,"the entire physical structure of an organism (an animal, plant, or human being); ""he felt as if his whole body were on fire""",,#N/A,,,#N/A
Body,entity:physical entity:object:whole:natural object:body,05225115,"body,dead body",,,"a natural object consisting of a dead animal or person; ""they found the body in the lake""",05217859-n,"死体,死身,死骸,屍骸,残骸,屍体,亡き骸,亡骸,遺骸,遺体,屍,死に身,死屍,糞袋,骸",,,死んだ動物あるいは人の体から成る自然物
Body,entity:physical entity:object:whole:natural object:body:cadaver,05225393,"cadaver,corpse,stiff,clay,remains",,,"the dead body of a human being; ""the cadaver was intended for dissection""; ""the end of the police search was the discovery of a corpse""; ""the murderer confessed that he threw the stiff in the river""; ""honor comes to bless the turf that wraps their clay""",05218119-n,"死体,死身,死骸,屍骸,屍体,亡き骸,亡骸,遺骸,遺体,屍,死に身,死屍,死人,形骸,骸",,,人間の死体
Body,entity:physical entity:object:whole:natural object:body:human body,05224424,"human body,physical body,material body,soma,build,figure,physique,anatomy,shape,bod,chassis,frame,form,flesh",,,"alternative names for the body of a human being; ""Leonardo studied the human body""; ""he has a strong physique""; ""the spirit is willing but the flesh is weak""",05217168-n,"有待,人身,人体",,,人体に対する代わりの名前
Object,entity:physical entity:object:whole:natural object:body:mass,09370952,mass,,,"a body of matter without definite shape; ""a huge ice mass""",09348055-n,"固り,塊,集塊,団塊,塊体,塊まり,かたまり,固まり",,,はっきりした形のない物体
Object,entity:physical entity:object:whole:natural object:body:mass:drift,09293139,drift,,,a large mass of material that is heaped up by the wind or by water currents,09270233-n,漂積物,,,風や水流によって大量に堆積した物
Object,entity:physical entity:object:whole:natural object:body:particle,09409315,"particle,subatomic particle",,,a body having finite mass and internal structure but negligible dimensions,09386422-n,"粒子,素粒子",,,有限質量と内部構造があるが、大きさが僅かである物体
Object,entity:physical entity:object:whole:natural object:body:particle:elementary particle:lepton:electron,09294810,"electron,negatron",,,an elementary particle with negative charge,09271904-n,"陰電子,エレクトロン,電子",,,負電荷の素粒子
Object,entity:physical entity:object:whole:natural object:celestial body:planet,09416900,"planet,major planet",,,"(astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction",09394007-n,"遊星,惑星,大遊星,大惑星,迷い星,迷星",,,太陽の周りを公転し、反射光によって輝く太陽系の9つの大きな天体のいずれか
Object,entity:physical entity:object:whole:natural object:celestial body:star,09467687,star,,,any celestial body visible (as a point of light) from the Earth at night,09444783-n,"辰星,星,スタア,星斗,エトワール",,,夜、地球から（光の点として）見られる天体
Object,entity:physical entity:object:whole:natural object:constellation,09275876,constellation,,,a configuration of stars as seen from the earth,09252970-n,"星辰,星座,辰宿",,,地球から見たときの星の配置
Plant,entity:physical entity:object:whole:natural object:covering:bark,13183195,bark,,,tough protective covering of the woody stems and roots of trees and other woody plants,13162297-n,"木皮,木肌,木膚,樹皮,皮",,,木質の茎と根の丈夫な保護カバーと他の木質の植物
Animal,entity:physical entity:object:whole:natural object:covering:body covering:feather,01898672,"feather,plume,plumage",,,the light horny waterproof structure forming the external covering of birds,01896031-n,"羽毛,羽根,フェザー,鳥毛",,,鳥の外側の覆いを形成する、軽くて角質の防水構造物
Body,entity:physical entity:object:whole:natural object:covering:body covering:hair,05262259,hair,,,"a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss; ""he combed his hair""; ""each hair consists of layers of dead keratinized cells""",05254795-n,"鬢,お櫛,頭髪,御髪,ヘアー,ヘヤー,毛,髪,ヘヤ,毛髪,毛茸,髪筋,ヘア,髢,毛筋,髪の毛,御櫛,かもじ,お髪",,,糸状構造物（人間の頭の上で）の高密度増殖からなる体（またはその部分）の覆い
Body,entity:physical entity:object:whole:natural object:covering:body covering:hair:eyebrow,05321060,"eyebrow,brow,supercilium",,,the arch of hair above each eye,05313535-n,"眉,眉毛,まゆ根,眉宇,アイブロー,眉根,アイブロウ,まゆ毛,黛,まゆ墨",,,それぞれの目より上にある髪のアーチ
Body,entity:physical entity:object:whole:natural object:covering:body covering:hair:facial hair:beard,05269065,"beard,face fungus,whiskers",,,the hair growing on the lower part of a man's face,05261566-n,"髭,頬髭,顎髭,頬髯,顎髯,あご鬚,顎ひげ,ひげ,鬚,顎鬚,頬ひげ",,,男性の顔の下の部分に生える毛
Body,entity:physical entity:object:whole:natural object:covering:body covering:hair:hairdo:braid,05266995,"braid,plait,tress,twist",,,a hairdo formed by braiding or twisting the hair,05259512-n,ブレイド,,,編んだり撚ったりした髪型
Body,entity:physical entity:object:whole:natural object:covering:body covering:hair:hairdo:haircut,05265076,haircut,,,the style in which hair has been cut,05257593-n,カット,,,髪を切ったスタイル
Body,entity:physical entity:object:whole:natural object:covering:body covering:hair:lock,05265220,"lock,curl,ringlet,whorl",,,a strand or cluster of hair,05257737-n,"巻毛,ちぢれ髪,巻き毛,ちぢれ毛,長い巻き毛,カール,縮毛,まき毛,縮れ毛",,,髪の房
Animal,entity:physical entity:object:whole:natural object:covering:body covering:hide,01898376,"hide,pelt,skin",,,body covering of a living animal,01895735-n,"獣皮,スキン,上皮,皮膚,皮",,,生きている動物の体を覆うもの
Plant,entity:physical entity:object:whole:natural object:covering:pericarp:stone,11705208,"stone,pit,endocarp",,,"the hard inner (usually woody) layer of the pericarp of some fruits (as peaches or plums or cherries or olives) that contains the seed; ""you should remove the stones from prunes before cooking""",11684739-n,"種子,内果皮,種,果核",,,種子を含むいくつかの果実（モモ、プラム、チェリーまたはオリーブとしての）の果皮の固い内側（通常樹木の茂った）の層
Animal,entity:physical entity:object:whole:natural object:covering:scale,01905518,scale,,,a flattened rigid plate forming part of the body covering of many animals,01902877-n,"うろくず,鱗屑,鱗片,鱗",,,多くの動物を覆っている体の部分を形成する平らな堅い板
Plant,entity:physical entity:object:whole:natural object:covering:sheath:husk:hull:shell,11704025,shell,,,the hard usually fibrous outer layer of some fruits especially nuts,11683556-n,"殻,莢",,,ある種の実、特に堅果の、堅く、通常繊維質の外層
Animal,entity:physical entity:object:whole:natural object:covering:shell,01906823,shell,,,the hard largely calcareous covering of a mollusc or a brachiopod,01904182-n,"外殻,シェル,殻,貝殼,貝殻",,,軟体動物か腕足類の主に石灰質の固い覆い
Object,entity:physical entity:object:whole:natural object:covering:shell,09455334,"shell,eggshell",,,the exterior covering of a bird's egg,09432430-n,"卵の殻,殻,卵殻",,,鳥の卵の外皮
Object,entity:physical entity:object:whole:natural object:extraterrestrial object:comet,09274313,comet,,,(astronomy) a relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit,09251407-n,"帚星,コメット,すい星,彗星,ほうき星,箒星",,,氷の塊でできた比較的小さな天体で、細長い楕円軌道で太陽の周りを回る
Object,entity:physical entity:object:whole:natural object:mechanism:barrier,09237488,barrier,,,anything serving to maintain separation by obstructing vision or access,09214581-n,"障壁,垣根,バリアー,バリヤ,牆壁,バリヤー,壁,墻壁,防壁,バリア",,,視界や進入を防ぐことによって分離を維持するのに役立つ何か
Object,entity:physical entity:object:whole:natural object:nest,09392066,nest,,,a structure in which animals lay eggs or give birth to their young,09369169-n,巣,,,動物がその中で産卵あるいは子供を産む構造物
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:leaf,13173519,"leaf,leafage,foliage",,,the main organ of photosynthesis and transpiration in higher plants,13152742-n,"樹葉,葉っぱ,木の葉,葉,木ノ葉",,,高等植物の、光合成と蒸散の為の主要器官
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:leaf:blade,13152642,"blade,leaf blade",,,especially a leaf of grass or the broad portion of a leaf as distinct from the petiole,13131883-n,"葉,葉身",,,特に葉柄とは異なるものとしての葉または草あるいは葉の広い部分
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:leaf:pad:lily pad,13175531,lily pad,,,floating leaves of a water lily,13154736-n,#N/A,,,水に浮かんだスイレンの葉
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:reproductive structure:fruit,13155706,fruit,,,the ripened reproductive body of a seed plant,13134947-n,"果実,実",,,種子植物の成熟した生殖体
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:reproductive structure:fruit:seed,13156591,seed,,,a small hard fruit,13135832-n,"種子,種,実",,,小さくて堅い実
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:reproductive structure:fruit:seed:nut,13157333,nut,,,usually large hard-shelled seed,13136556-n,"木の実,木ノ実,ナッツ,堅果,実",,,一般に大きくて堅い外皮の種子
Food,entity:physical entity:object:whole:natural object:plant part:plant organ:reproductive structure:fruit:seed:nut:edible nut:peanut,07753721,"peanut,earthnut,goober,goober pea,groundnut,monkey nut",,,pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms,07737745-n,"ナンキンマメ,落花生,南京豆,ピーナツ,ピーナット,ラッカセイ,ピーナッツ",,,通常2つの実または種の入った、落花生のさや
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:root,13145876,root,,,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,13125117-n,"根っ子,根,根っこ",,,通常は地下部の器管で、芽または葉または節を持たない
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:root:carrot,12958438,carrot,07746183,,deep orange edible root of the cultivated carrot plant,12937678-n,"人蔘,ニンジン,人参",,,栽培されているニンジン植物の濃いオレンジ色の食用の根
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:stalk,13149924,"stalk,stem",,,a slender or elongated structure that supports a plant or fungus or a plant part or plant organ,13129165-n,"茎,柄,幹",,,植物、真菌、植物部位または植物器官を支える細長いまたは長い構造
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:stalk:branch,13184148,branch,,,"a division of a stem, or secondary stem arising from the main stem of a plant",13163250-n,"ブランチ,樹枝,枝",,,茎が分裂したもの、または植物の主要な茎から生じる派生的な茎
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:stalk:bulb,13154818,bulb,,,a modified bud consisting of a thickened globular underground stem serving as a reproductive structure,13134059-n,"鱗茎,球茎,根球,球根",,,繁殖構造の役割を持ち、肥大化して球状になった地下茎からなる、変形した芽
Plant,entity:physical entity:object:whole:natural object:plant part:plant organ:stalk:bulb:onion,12453586,onion,,,the bulb of an onion plant,12433081-n,"玉ねぎ,タマネギ,オニオン,玉葱",,,タマネギの球根
Plant,entity:physical entity:object:whole:natural object:plant part:plant tissue:pulp,13116794,"pulp,flesh",,,a soft moist part of a fruit,13096035-n,"果肉,肉",,,果物の柔らかく湿った部分
Object,entity:physical entity:object:whole:natural object:rock,09438954,"rock,stone",,,"a lump or mass of hard consolidated mineral matter; ""he threw a rock at me""",09416076-n,"石ころ,ストーン,石塊,石,石巌,岩,磐,岩石",,,固い統合鉱物質の塊か固まり
Body,entity:physical entity:object:whole:natural object:sample:specimen,05274378,specimen,,,"a bit of tissue or blood or urine that is taken for diagnostic purposes; ""they collected a urine specimen for urinalysis""",05266879-n,"検体,標本,試験片,試料",,,診断の目的で採取される少量の組織、血液、または尿
Object,entity:physical entity:object:whole:natural object:universe,09489410,"universe,existence,creation,world,cosmos,macrocosm",,,"everything that exists anywhere; ""they study the evolution of the universe""; ""the biggest tree in existence""",09466280-n,"万物,あめつち,万有,全ての存在,森羅万象,天地,コスモス,大宇宙,六合,コスモ,マクロコスモス,存在,ユニヴァース,ユニバース,宇宙",,,存在するすべてのもの
Object,entity:physical entity:object:whole:natural object:universe:nature,09389659,nature,,,"the natural physical world including plants and animals and landscapes etc.; ""they tried to preserve nature as they found it""",09366762-n,"大自然,ネーチャー,自然界",,,動植物、風景などを含む自然な物質的世界
Process,entity:physical entity:process:economic process:demand,13482365,demand,,,"the ability and desire to purchase goods and services; ""the automobile reduced the demand for buggywhips""; ""the demand exceeded the supply""",13461162-n,"デマンド,入用,入り用,需要",,,商品とサービスを購入する能力と願望
Process,entity:physical entity:process:economic process:demand:consumption,13472977,"consumption,economic consumption,usance,use,use of goods and services",,,"(economics) the utilization of economic goods to satisfy needs or in manufacturing; ""the consumption of energy has increased steadily""",13451804-n,"消耗,損耗,消費,使用,利用,需用",,,必要性を満たす経済製品または製造での利用
Process,entity:physical entity:process:economic process:inflation,13520031,"inflation,rising prices",,,"a general and progressive increase in prices; ""in inflation everything gets more valuable except money""",13498828-n,"インフレーション,通貨膨張,インフレ,通貨膨脹",,,物価の全般的で急激な上昇
Process,entity:physical entity:process:human process:social process:assimilation,13456051,"assimilation,absorption",,,the social process of absorbing one cultural group into harmony with another,13434878-n,"併合,同化,摂取,同化作用",,,ある文化形態を他の文化と調和させることで吸収する社会的過程
Process,entity:physical entity:process:increase,13518338,"increase,increment,growth",,,"a process of becoming larger or longer or more numerous or more important; ""the increase in unemployment""; ""the growth of population""",13497135-n,"増,増嵩,増進,増加,増し,累加,上昇,延び,加重,加増,伸び,伸暢,拡張,伸張,増殖,膨脹,伸長,増大",,,より大きいか、より長いか多数であるか、より重要である過程
Process,entity:physical entity:process:increase:accretion,13446038,"accretion,accumulation",,,an increase by natural growth or addition,13424865-n,"堆積作用,集積,蓄積,累加,堆積,累増,累積",,,自然成長もしくは添加による増大
Process,entity:physical entity:process:iteration,13525376,"iteration,loop",,,"(computer science) a single execution of a set of instructions that are to be repeated; ""the solution took hundreds of iterations""",13504173-n,"繰り返し,ループ",,,繰り返される一組の命令の単一の実行
Process,entity:physical entity:process:natural process:chemical process:chemical reaction,13468534,"chemical reaction,reaction",,,"(chemistry) a process in which one or more substances are changed into others; ""there was a chemical reaction of the lime with the ground water""",13447361-n,"反応,化学反応",,,1つ以上の物質が他の物に変わるという過程
Process,entity:physical entity:process:natural process:chemical process:chemical reaction:oxidation:combustion:fire,13502051,"fire,flame,flaming",,,"the process of combustion of inflammable materials producing heat and light and (often) smoke; ""fire was one of our ancestors' first discoveries""",13480848-n,"ファイア,炎,火,焔",,,熱や発光、（時には）煙を出しながら可燃性の物質が燃える過程
Process,entity:physical entity:process:natural process:drift,13490877,drift,,,the gradual departure from an intended course due to external influences (as a ship or plane),13469674-n,"漂泊,浮流,偏流,漂流,浮游,浮遊",,,（船や飛行機が）外的影響によって目的とするコースから徐々に離れること
Process,entity:physical entity:process:natural process:nuclear reaction:decay,13478072,"decay,radioactive decay,disintegration",,,the spontaneous disintegration of a radioactive substance along with the emission of ionizing radiation,13456899-n,"減衰,崩潰,壊変,崩壊,放射性崩壊",,,電離放射線の放出を伴う放射性物質の自発的崩壊
Process,entity:physical entity:process:natural process:release:emission:radiation,13566387,"radiation,radioactivity",,,the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay,13545184-n,"放射線,放射,放射能,輻射",,,原子核崩壊において粒子の流れまたは電磁波の自然放出
Process,entity:physical entity:process:natural process:sorption:absorption,13445095,"absorption,soaking up",,,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,13423922-n,#N/A,,,ある物質が他に透過する過程
Process,entity:physical entity:process:natural process:survival,13584949,"survival,survival of the fittest,natural selection,selection",,,a natural process resulting in the evolution of organisms best adapted to the environment,13563746-n,"淘汰,自然淘汰,適者生存,自然選択",,,最も環境に適するよう生物の進化をもたらす自然な過程
Process,entity:physical entity:process:operation,13546752,"operation,functioning,performance",,,"process or manner of functioning or operating; ""the power of its engine determines its operation""; ""the plane's operation in high winds""; ""they compared the cooking performance of each oven""; ""the jet's performance conformed to high standards""",13525549-n,"性能,パーフォーマンス,パフォーマンス,動作",,,機能する、または作動する過程、もしくは方法
Act,entity:physical entity:process:organic process:bodily process:consumption,00839759,"consumption,ingestion,intake,uptake",,,the process of taking food into the body through the mouth (as by eating),00838098-n,"取り込み,取り入れること,摂取すること,経口摂取,摂取",,,食物を（食べることにより）口から身体に取り入れる過程
Process,entity:physical entity:process:organic process:bodily process:healing:convalescence,13473520,"convalescence,recuperation,recovery",,,gradual healing (through rest) after sickness or injury,13452347-n,"克復,快復,平癒,快癒,治癒,床上げ,治り,床上,直り,恢復,再起,快気,復調,回復,全快,リカバリー",,,病気や怪我の後徐々に（安静を通して）治癒すること
Act,entity:physical entity:process:organic process:bodily process:reaction:reflex:electric shock,00840953,"electric shock,electrical shock,shock",,,"a reflex response to the passage of electric current through the body; ""subjects received a small electric shock when they made the wrong response""; ""electricians get accustomed to occasional shocks""",00839292-n,電気ショック,,,体内を通じる電流の通過への反射的な反応
Act,entity:physical entity:process:organic process:bodily process:sexual activity:conception,00846508,conception,,,the act of becoming pregnant; fertilization of an ovum by a spermatozoon,00844847-n,"妊孕,おめでた,妊娠,懐妊,コンセプション,受胎,懐胎",,,妊娠する行為
Process,entity:physical entity:process:organic process:evolution,13498226,"evolution,organic evolution,phylogeny,phylogenesis",,,(biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms,13477023-n,"進化,エヴォリューション,系統発生,エボリューション",,,種の進化の成長または生物の分類群に関係する出来事の連続
Process,entity:physical entity:process:organic process:growth,13510240,"growth,growing,maturation,development,ontogeny,ontogenesis",,,"(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level; ""he proposed an indicator of osseous development in children""",13489037-n,"成長,生育,成熟,化生,発達,個体発生,生長,発育,増殖,成育,育ち",,,個々の生物が有機的に成長する過程
Act,entity:physical entity:process:organic process:growth:culture,00922324,culture,,,"(biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar); ""the culture of cells in a Petri dish""",00920510-n,培養,,,培養液（ゼラチンまたは寒天のような）の微生物の成長
Tops,entity:physical entity:process:phenomenon,00034512,phenomenon,,,any state or process known through the senses rather than by intuition or reasoning,00034213-n,"事象,フェノメノン,現象",,,直感や推理よりも感覚を通じて知る状態や過程
Phenomenon,entity:physical entity:process:phenomenon:consequence,11430739,"consequence,effect,outcome,result,event,issue,upshot",,,"a phenomenon that follows and is caused by some previous phenomenon; ""the magnetic effect was greater when the rod was lengthwise""; ""his decision had depressing consequences for business""; ""he acted very wise after the event""",11410625-n,"成果,作用,果,成り行き,結末,効果,結果,成行き,首尾,影響,至り,仕儀,始末",,,ある先行する現象に続く現象、またはある先行する現象を原因とする現象
Phenomenon,entity:physical entity:process:phenomenon:consequence:impact,11434525,"impact,wallop",,,"a forceful consequence; a strong effect; ""the book had an important impact on my thinking""; ""the book packs a wallop""",11414411-n,"インパクト,効果,衝撃,影響,衝動,衝戟,影響力",,,効果的な結果
Phenomenon,entity:physical entity:process:phenomenon:consequence:influence,11434722,influence,,,"the effect of one thing (or person) on another; ""the influence of mechanical action""",11414608-n,"差し響き,差響き,差しひびき,響き,影響,差響,インフルエンス,さし響き",,,他に対する物（あるいは人）の影響
Phenomenon,entity:physical entity:process:phenomenon:consequence:product,11435956,product,,,"a consequence of someone's efforts or of a particular set of circumstances; ""skill is the product of hours of practice""; ""his reaction was the product of hunger and fatigue""",11415842-n,"所産,産物",,,人の努力、またはある特殊な一組の状況の結果
Phenomenon,entity:physical entity:process:phenomenon:consequence:response:reaction,11437243,reaction,,,"a response that reveals a person's feelings or attitude; ""he was pleased by the audience's reaction to his performance""; ""John feared his mother's reaction when she saw the broken lamp""",11417129-n,反応,,,人の感情や態度を表す反応
Phenomenon,entity:physical entity:process:phenomenon:luck,11438252,"luck,fortune,chance,hazard",,,"an unknown and unpredictable phenomenon that causes an event to result one way rather than another; ""bad luck caused his downfall""; ""we ran into each other by pure chance""",11418138-n,"巡り合わせ,巡合,回り合せ,回合わせ,回合,巡合わせ,回合せ,巡合せ,回り合わせ",,,ある出来事において、別のものではないある一定の方法における結果を生じさせる未知の、予測できない現象
Phenomenon,entity:physical entity:process:phenomenon:luck,11438574,"luck,fortune",,,"an unknown and unpredictable phenomenon that leads to a favorable outcome; ""it was my good luck to be there""; ""they say luck is a lady""; ""it was as if fortune guided his hand""",11418460-n,"幸運,附,果報,利運,好運,仕合わせ,付き,幸,倖,ラッキー,ツキ,運,ラック,幸せ,倖せ,仕合せ,好い目,付,附き",,,好ましい結果に導く、未知で予測できない現象
State,entity:physical entity:process:phenomenon:natural phenomenon:chemical phenomenon:state of matter,14503199,"state of matter,state",,,"(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container); ""the solid state of water is called ice""",14479615-n,"状態,物質の状態",,,物質の伝統的な三態は、固体（形状や体積が固定している）と液体（容器によって体積や形状が固定される）と気体（容器を満たす）である
State,entity:physical entity:process:phenomenon:natural phenomenon:chemical phenomenon:state of matter:gas,14504664,"gas,gaseous state",,,the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container,14481080-n,"ガス体,気体,瓦斯,ガス,瓦斯体",,,固体や気体と区別される物質の状態：相対的に低密度、低粘性である
Event,entity:physical entity:process:phenomenon:natural phenomenon:geological phenomenon:earthquake,07443554,"earthquake,quake,temblor,seism",,,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane or from volcanic activity,07428954-n,"地震,アースクェイク",,,火山活動により断層面に沿った地下運動によって、地球の表面が揺れて震動すること
Phenomenon,entity:physical entity:process:phenomenon:natural phenomenon:geological phenomenon:flood,11475008,"flood,inundation,deluge,alluvion",,,"the rising of a body of water and its overflowing onto normally dry land; ""plains fertilized by annual inundations""",11454591-n,"大水,出水,大洪水,氾濫,洪水",,,水域が上昇し、通常は陸地である場所に溢れること
Phenomenon,entity:physical entity:process:phenomenon:natural phenomenon:organic phenomenon:circulation,11459145,circulation,,,movement through a circuit; especially the movement of blood through the heart and blood vessels,11439031-n,"血の巡り,血液循環,血行",,,回路を通る動き
Phenomenon,entity:physical entity:process:phenomenon:natural phenomenon:organic phenomenon:decay,11464739,"decay,decomposition",,,the organic phenomenon of rotting,11444643-n,"腐,腐敗,腐食,腐朽,腐り,腐蝕,腐乱",,,有機物の腐っていく現象
Object,entity:physical entity:process:phenomenon:natural phenomenon:physical phenomenon:atmospheric phenomenon:cloud,09270316,cloud,,,a visible mass of water or ice particles suspended at a considerable altitude,09247410-n,"雲,片雲",,,かなりの高度で浮遊している、目に見える水や氷の粒子が集まったもの
